House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Moon Ketu,,,
Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Moon Ketu,,,
Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,Moon,,
Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,Moon,,
Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,Moon,,
Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,,Moon,
Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,,Moon,
Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,,Moon,
Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,,,Moon
Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,,,Moon
Moon Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,,,
Moon Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,,,
Moon Jupiter Saturn,,Rahu,Sun,Mercury Venus,,Mars,,Ketu,,,
Jupiter Saturn,Moon,Rahu,Sun,Mercury Venus,,Mars,,Ketu,,,
Jupiter Saturn,Moon,Rahu,Sun,Mercury Venus,,Mars,,Ketu,,,
Jupiter Saturn,,Moon Rahu,Sun Mercury,Venus,,Mars,,Ketu,,,
Jupiter Saturn,,Moon Rahu,Sun Mercury,Venus,,Mars,,Ketu,,,
Jupiter Saturn,,Rahu,Sun Moon Mercury,Venus,,Mars,,Ketu,,,
Jupiter,,Rahu,Sun Moon Mercury,Venus,,Mars,,Ketu,,,Saturn
Jupiter,Rahu,,Sun Mercury,Moon Venus,,Mars,Ketu,,,,Saturn
Jupiter,Rahu,,Sun Mercury,Moon Venus,,Mars,Ketu,,,,Saturn
Jupiter,Rahu,,Sun Mercury,Venus,Moon,Mars,Ketu,,,,Saturn
Jupiter,Rahu,,Sun Mercury,Venus,Moon,Mars,Ketu,,,,Saturn
Jupiter,Rahu,,Sun Mercury,Venus,Moon,Mars,Ketu,,,,Saturn
Jupiter,Rahu,,Sun Mercury Venus,,,Moon Mars,Ketu,,,,Saturn
Jupiter,Rahu,,Sun Mercury Venus,,,Moon Mars,Ketu,,,,Saturn
Jupiter,Rahu,,Sun Mercury Venus,,,Mars,Moon Ketu,,,,Saturn
Jupiter,Rahu,,Sun Mercury Venus,,,Mars,Moon Ketu,,,,Saturn
Jupiter,Rahu,,Sun Mercury Venus,,,Mars,Moon Ketu,,,,Saturn
Jupiter,Rahu,,Sun Mercury Venus,,,Mars,Ketu,Moon,,,Saturn
Jupiter,Rahu,,Sun Mercury Venus,,,Mars,Ketu,Moon,,,Saturn
Jupiter,Rahu,,Sun Mercury Venus,,,Mars,Ketu,,Moon,,Saturn
,Rahu,Mercury,Sun Venus,,,Mars,Ketu,,Moon,,Jupiter Saturn
,Rahu,Mercury,Sun Venus,,,Mars,Ketu,,Moon,,Jupiter Saturn
,Rahu,Mercury,Sun Venus,,,Mars,Ketu,,,Moon,Jupiter Saturn
,Rahu,Mercury,Sun Venus,,,Mars,Ketu,,,Moon,Jupiter Saturn
,Rahu,Mercury,Sun Venus,,,Mars,Ketu,,,Moon,Jupiter Saturn
,Rahu,Mercury,Sun Venus,,,Mars,Ketu,,,,Moon Jupiter Saturn
,Rahu,Mercury,Sun Venus,,,Mars,Ketu,,,,Moon Jupiter Saturn
,Rahu,Mercury,Sun Venus,,,Mars,Ketu,,,,Moon Jupiter Saturn
Moon,Rahu,Mercury,Sun Venus,,,Mars,Ketu,,,,Jupiter Saturn
Moon,Rahu,Mercury,Sun Venus,,,Mars,Ketu,,,,Jupiter Saturn
,Moon Rahu,Mercury,Sun Venus,,,Mars,Ketu,,,,Jupiter Saturn
,Moon Rahu,Mercury,Sun Venus,,,Mars,Ketu,,,,Jupiter Saturn
,Rahu,Moon Mercury,Sun Venus,,,Mars,Ketu,,,,Jupiter Saturn
,Rahu,Moon Mercury Venus,Sun,,,Mars,Ketu,,,,Jupiter Saturn
,Rahu,Mercury Venus,Sun Moon,,,Mars,Ketu,,,,Jupiter Saturn
,Rahu,Mercury Venus,Sun Moon,,,Mars,Ketu,,,,Jupiter Saturn
,Rahu,Mercury Venus,Sun Moon,,,Mars,Ketu,,,,Jupiter Saturn
,Rahu,Mercury Venus,Sun,Moon,,Mars,Ketu,,,,Jupiter Saturn
,Rahu,Mercury Venus,Sun,Moon,,Mars,Ketu,,,,Jupiter Saturn
,Rahu,Mercury Venus,Sun,,Moon,Mars,Ketu,,,,Jupiter Saturn
Rahu,,Mercury Venus,Sun,,Moon,Mars Ketu,,,,Saturn,Jupiter
Rahu,,Mercury Venus,Sun,,,Moon Mars Ketu,,,,Saturn,Jupiter
Rahu,,Mercury Venus,Sun,,,Moon Mars Ketu,,,,Saturn,Jupiter
Rahu,,Mercury Venus,Sun,,,Mars Ketu,Moon,,,Saturn,Jupiter
Rahu,,Mercury Venus,Sun,,,Mars Ketu,Moon,,,Saturn,Jupiter
