House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Ketu,Moon Venus,Mercury,Sun Mars,Saturn,,Rahu,,,,Jupiter,
Ketu,Moon Venus,Mercury,Sun Mars,Saturn,,Rahu,,,,Jupiter,
Ketu,Venus,Moon Mercury,Sun Mars,Saturn,,Rahu,,,,Jupiter,
,Venus,Moon Mercury,Sun Mars,Saturn,Rahu,,,,,Jupiter,Ketu
,Venus,Moon Mercury,Sun Mars,Saturn,Rahu,,,,,Jupiter,Ketu
,Venus,Mercury,Sun Moon Mars,Saturn,Rahu,,,,,Jupiter,Ketu
,Venus,Mercury,Sun Moon Mars,Saturn,Rahu,,,,,Jupiter,Ketu
,Venus,Mercury,Sun Mars,Moon Saturn,Rahu,,,,,Jupiter,Ketu
,Venus,Mercury,Sun Mars,Moon Saturn,Rahu,,,,,Jupiter,Ketu
,Venus,,Sun Mercury Mars,Saturn,Moon Rahu,,,,,Jupiter,Ketu
,Venus,,Sun Mercury Mars Saturn,,Moon Rahu,,,,,Jupiter,Ketu
,Venus,,Sun Mercury Mars Saturn,,Moon Rahu,,,,,Jupiter,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,Moon,,,,Jupiter,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,Moon,,,,Jupiter,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,Moon,,,Jupiter,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,Moon,,,Jupiter,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,Moon,,,Jupiter,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,,Moon,,Jupiter,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,,Moon,Jupiter,,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,,Moon,Jupiter,,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Moon Jupiter,,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Moon Jupiter,,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,Moon,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,Moon,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,Moon,Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,,Moon Ketu
,Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,,Moon Ketu
Moon,Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,,Ketu
Moon,Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,,Ketu
,Moon Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,,Ketu
,Moon Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,,Ketu
,Moon Venus,,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,,Ketu
,Venus,Moon,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,,Ketu
,Venus,Moon,Sun Mercury Mars Saturn,,Rahu,,,,Jupiter,,Ketu
,Venus,,Sun Moon Mercury Mars Saturn,,Rahu,,,,Jupiter,,Ketu
,Venus,,Sun Moon Mercury Mars Saturn,,Rahu,,,,Jupiter,,Ketu
,Venus,,Sun Mercury Mars Saturn,Moon Rahu,,,,,Jupiter,Ketu,
,Venus,,Sun Mercury Mars Saturn,Moon Rahu,,,,,Jupiter,Ketu,
,Venus,,Sun Mercury Mars Saturn,Rahu,Moon,,,,Jupiter,Ketu,
,Venus,,Sun Mercury Mars Saturn,Rahu,Moon,,,,Jupiter,Ketu,
,,Venus,Sun Mercury Mars Saturn,Rahu,Moon,,,,Jupiter,Ketu,
,,Venus,Sun Mercury Mars Saturn,Rahu,,Moon,,,Jupiter,Ketu,
,,Venus,Sun Mercury Mars Saturn,Rahu,,Moon,,,Jupiter,Ketu,
,,Venus,Sun Mercury Mars Saturn,Rahu,,Moon,,,Jupiter,Ketu,
,,Venus,Sun Mercury Mars Saturn,Rahu,,,Moon,,Jupiter,Ketu,
,,Venus,Sun Mercury Mars Saturn,Rahu,,,Moon,,Jupiter,Ketu,
,,Venus,Sun Mercury Mars Saturn,Rahu,,,,Moon,Jupiter,Ketu,
,,Venus,Sun Mercury Mars Saturn,Rahu,,,,Moon,Jupiter,Ketu,
,,Venus,Sun Mercury Mars Saturn,Rahu,,,,Moon Jupiter,,Ketu,
,,Venus,Sun Mercury Mars Saturn,Rahu,,,,Jupiter,Moon,Ketu,
,,Venus Saturn,Sun Mercury Mars,Rahu,,,,Jupiter,Moon,Ketu,
,,Venus Saturn,Sun Mars,Mercury Rahu,,,,Jupiter,,Moon Ketu,
,,Venus Saturn,Sun Mars,Mercury Rahu,,,,Jupiter,,Moon Ketu,
,,Venus Saturn,Sun Mars,Mercury Rahu,,,,Jupiter,,Moon Ketu,
,,Venus Saturn,Sun Mars,Mercury Rahu,,,,Jupiter,,Ketu,Moon
,,Venus Saturn,Sun Mars,Mercury Rahu,,,,Jupiter,,Ketu,Moon
Moon,,Venus Saturn,Sun Mars,Mercury Rahu,,,,Jupiter,,Ketu,
Moon,,Venus Saturn,Sun Mars,Mercury Rahu,,,,Jupiter,,Ketu,
